"scientific_name","species_group","internal_score","external_mean_score","internal_comment","external_comment","overall_min_score","overall_mean_score"
"Abramis.brama","fish",3,2.5,"","Reviewer 1: Model underestimates presence between southwestern and Åland islands.",2.5,2.75
"Agonus.cataphractus","fish",3,3,"",NA,3,3
"Alburnus.alburnus","fish",3,2.5,"",NA,2.5,2.75
"Alosa.fallax","fish",2,2.5,"",NA,2,2.25
"Amblyraja.radiata","fish",3,1.5,"","Reviewer 1: Baltic occurrences seem incorrect. | Reviewer 2: Species not present in Bothnian Bay and northern Baltic Sea.",1.5,2.25
"Ammodytes.marinus","fish",2,2,"Likely overestimates presences in the Baltic. Low number of positive cases (presences) in model training data.","Reviewer 1: Might overestimate for the Finnish Archipelago Sea",2,2
"Ammodytes.tobianus","fish",1,1.6666666666666667,"","Reviewer 1: Range seems ok, unsure about fine scale distribution particularly in Bothnian sea. | Reviewer 2: Should be present in the Bothnian Bay as well, even though rare | Reviewer 3: Species present in eastern Gulf of Finland in Finnish coats and also in Bothnian Bay in the north. This model is not representing this. Also The Archipelago Sea in very much under represented in this, where we have this species fairly common.",1,1.3333333333333335
"Anguilla.anguilla","fish",1,2,"Underestimates the distribution in the Baltic.","Reviewer 1: Somewhat underpredicted in the Baltic? | Reviewer 2: The basis of this map is unclear. Is it possible to present this kind of fish species migrating through as a distribution map. Key areas are in complitely different areas.",1,1.5
"Aphia.minuta","fish",3,3,"",NA,3,3
"Argentina.sphyraena","fish",1,1,"Overestimated in the Baltic based on a few presences (caused by GAM) although with low confidence.","Reviewer 1: Baltic occurrences seem incorrect. | Reviewer 2: This species is NOT present in northern Baltic Sea, at least not in Finland.",1,1
"Arnoglossus.laterna","fish",3,3,"","Reviewer 1: Absent with high confidence in Bothnian bay/sea",3,3
"Belone.belone","fish",3,3,"",NA,3,3
"Blicca.bjoerkna","fish",3,2.5,"","Reviewer 1: Overpredicted in Bothnian Sea / Bay?",2.5,2.75
"Buglossidium.luteum","fish",3,3,"",NA,3,3
"Callionymus.lyra","fish",3,3,"",NA,3,3
"Callionymus.maculatus","fish",3,2,"","Reviewer 1: Occurrences in Baltic seem incorrect, and perhaps somewhat overpredicted in Kattegat?",2,2.5
"Carassius.carassius","fish",2,2.3333333333333335,"Low number of positive cases (presences) in model training data.","Reviewer 1: Not very common in Finnish coast.",2,2.166666666666667
