"scientific_name","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary"
"Clupea.harengus",32320,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Gadus.morhua",28145,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Platichthys.flesus",24665,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Perca.fluviatilis",21544,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Carcinus.maenas",18107,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Sprattus.sprattus",17615,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Myoxocephalus.scorpius",16736,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Rutilus.rutilus",16526,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Gymnocephalus.cernua",14242,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pleuronectes.platessa",13722,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Zoarces.viviparus",11847,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Merlangius.merlangus",11642,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ctenolabrus.rupestris",9518,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Symphodus.melops",9244,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Anguilla.anguilla",7993,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Osmerus.eperlanus",7863,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Limanda.limanda",7804,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Gasterosteus.aculeatus",6838,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Gobius.niger",6764,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Blicca.bjoerkna",6302,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Alburnus.alburnus",5411,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Scophthalmus.maximus",5297,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Coregonus.maraena",4560,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pollachius.virens",4347,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Sander.lucioperca",4072,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Hippoglossoides.platessoides",4000,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Abramis.brama",3738,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Eutrigla.gurnardus",3377,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Trachurus.trachurus",3345,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Solea.solea",3242,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Neogobius.melanostomus",3048,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Enchelyopus.cimbrius",2730,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Melanogrammus.aeglefinus",2680,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Merluccius.merluccius",2304,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Cyclopterus.lumpus",2289,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Microstomus.kitt",2238,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Scophthalmus.rhombus",2234,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Taurulus.bubalis",2155,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Hyperoplus.lanceolatus",2073,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Engraulis.encrasicolus",1945,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Scomber.scombrus",1813,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Trachinus.draco",1795,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Lumpenus.lampretaeformis",1775,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Callionymus.lyra",1688,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Myoxocephalus.quadricornis",1679,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Trisopterus.esmarkii",1605,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Vimba.vimba",1580,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus.laterna",1477,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Agonus.cataphractus",1399,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Scardinius.erythrophthalmus",1327,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Callionymus.maculatus",1290,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Leuciscus.idus",1209,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pungitius.pungitius",1204,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Glyptocephalus.cynoglossus",1056,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Coregonus.albula",993,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Esox.lucius",981,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ciliata.mustela",910,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Trisopterus.minutus",909,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Cancer.pagurus",872,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Alosa.fallax",796,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ammodytes.tobianus",745,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Amblyraja.radiata",695,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Nerophis.ophidion",683,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pomatoschistus.minutus",680,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Leuciscus.leuciscus",677,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Salmo.trutta",605,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Myxine.glutinosa",571,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Mullus.surmuletus",565,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pholis.gunnellus",540,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Spinachia.spinachia",500,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pagurus.bernhardus",483,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Buglossidium.luteum",473,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pollachius.pollachius",469,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Squalus.acanthias",460,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Loligo.forbesii",456,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Nephrops.norvegicus",435,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Alloteuthis.subulata",433,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Syngnathus.acus",425,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Labrus.bergylta",418,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Chelidonichthys.lucerna",414,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Maurolicus.muelleri",382,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Tinca.tinca",330,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Lycodes.vahlii",325,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Aphia.minuta",322,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Syngnathus.typhle",313,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Argentina.sphyraena",259,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
