"scientific_name","quantity","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary"
"Scoloplos.armiger",7768,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Corbula.gibba",6607,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Limecola.balthica",6273,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pygospio.elegans",5830,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Mytilus",5798,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Mya.arenaria",5403,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Nephtys.hombergii",5195,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Abra.alba",5098,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Hediste.diversicolor",4925,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Marenzelleria",4833,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Heteromastus.filiformis",4337,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Tubificoides.benedii",4087,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Arctica.islandica",3457,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Diastylis.rathkei",3353,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Monoporeia.affinis",2975,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Amphiura.filiformis",2898,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Nucula.nitidosa",2777,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Saduria.entomon",2477,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Phoronis.muelleri",2453,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Cerastoderma.glaucum",2366,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Nephtys.ciliata",2242,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Capitella.capitata",2215,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pholoe.baltica",2209,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Thyasira.flexuosa",2197,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ophiura.albida",2144,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Prionospio.fallax",2118,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ampharete.baltica",2009,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Corophium.volutator",1999,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Microdeutopus.gryllotalpa",1988,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Polydora.cornuta",1974,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Abra.nitida",1836,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ampelisca.brevicornis",1817,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Bylgides.sarsi",1788,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Scalibregma.inflatum",1763,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Peringia.ulvae",1757,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Echinocardium.cordatum",1729,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Spiophanes.bombyx",1690,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Phaxas.pellucidus",1681,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Kurtiella.bidentata",1679,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Galathowenia.oculata",1659,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Fabulina.fabula",1651,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Nephtys.caeca",1577,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Eteone.longa",1554,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pholoe.inornata",1496,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Halicryptus.spinulosus",1485,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Chaetozone.setosa",1455,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Spio.filicornis",1412,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Pontoporeia.femorata",1199,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Arenicola.marina",1194,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Retusa.truncatula",1155,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
