"scientific_name","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary"
"Stuckenia.pectinata",6775,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Potamogeton.perfoliatus",5977,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Fucus.vesiculosus.radicans",5293,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Aegagropila.linnaei",4516,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ectocarpus.Pylaiella",4281,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Chorda.filum",3896,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Furcellaria.lumbricalis",3822,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ceramium.tenuicorne",3730,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Myriophyllum.spicatum",3633,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Chara.aspera",3132,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ruppia.maritima",3067,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Zostera.marina",2984,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Vertebrata.fucoides",2955,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Cladophora.glomerata",2580,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Stictyosiphon.tortilis",2493,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Phragmites.australis",2151,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Zannichellia.palustris",2151,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Battersia.arctica",2064,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Coccotylus.Phyllophora",2042,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Hildenbrandia.rubra",2030,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Chaetomorpha.melagonium",2012,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllum.demersum",1990,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Polysiphonia.stricta",1951,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Najas.marina",1907,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Callitriche.hermaphroditica",1829,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Myriophyllum.sibiricum",1670,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Rhodomela.confervoides",1367,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Fucus.serratus",1114,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Potamogeton.pusillus",1057,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Cladophora.rupestris",1046,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Eleocharis.acicularis",1040,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Vaucheria",963,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Tolypella.nidifica",923,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Schoenoplectus.tabernaemontani",919,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Nymphaea.alba",902,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ranunculus.peltatus.baudotii",862,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Saccharina.latissima",842,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Chara.baltica",797,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Odonthalia.dentata",793,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Elachista.fucicola",772,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Potamogeton.berchtoldii",757,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ceramium.virgatum",753,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ruppia.cirrhosa",753,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Alisma.plantago-aquatica",741,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
