scientific_name,full_name,species_group,hard_substrate_mask,soft_substrate_mask
Abramis.brama,Abramis brama,fish,0,0
Agonus.cataphractus,Agonus cataphractus,fish,0,0
Alburnus.alburnus,Alburnus alburnus,fish,0,0
Alosa.fallax,Alosa fallax,fish,0,0
Amblyraja.radiata,Amblyraja radiata,fish,0,0
Ammodytes.marinus,Ammodytes marinus,fish,0,0
Ammodytes.tobianus,Ammodytes tobianus,fish,0,0
Anguilla.anguilla,Anguilla anguilla,fish,0,0
Aphia.minuta,Aphia minuta,fish,0,0
Argentina.sphyraena,Argentina sphyraena,fish,0,0
Arnoglossus.laterna,Arnoglossus laterna,fish,0,0
Belone.belone,Belone belone,fish,0,0
Blicca.bjoerkna,Blicca bjoerkna,fish,0,0
Buglossidium.luteum,Buglossidium luteum,fish,0,0
Callionymus.lyra,Callionymus lyra,fish,0,0
Callionymus.maculatus,Callionymus maculatus,fish,0,0
Carassius.carassius,Carassius carassius,fish,0,0
Centrolabrus.exoletus,Centrolabrus exoletus,fish,0,0
Chelidonichthys.lucerna,Chelidonichthys lucerna,fish,0,0
Ciliata.mustela,Ciliata mustela,fish,0,0
Clupea.harengus,Clupea harengus,fish,0,0
Coregonus.albula,Coregonus albula,fish,0,0
Coregonus.maraena,Coregonus maraena,fish,0,0
Cottus.gobio,Cottus gobio,fish,0,0
Ctenolabrus.rupestris,Ctenolabrus rupestris,fish,0,0
Cyclopterus.lumpus,Cyclopterus lumpus,fish,0,0
Enchelyopus.cimbrius,Enchelyopus cimbrius,fish,0,0
Engraulis.encrasicolus,Engraulis encrasicolus,fish,0,0
Entelurus.aequoreus,Entelurus aequoreus,fish,0,0
Esox.lucius,Esox lucius,fish,0,0
Eutrigla.gurnardus,Eutrigla gurnardus,fish,0,0
Gadus.morhua,Gadus morhua,fish,0,0
Gasterosteus.aculeatus,Gasterosteus aculeatus,fish,0,0
Glyptocephalus.cynoglossus,Glyptocephalus cynoglossus,fish,0,0
Gobius.niger,Gobius niger,fish,0,0
Gymnocephalus.cernua,Gymnocephalus cernua,fish,0,0
Hippoglossoides.platessoides,Hippoglossoides platessoides,fish,0,0
Hyperoplus.immaculatus,Hyperoplus immaculatus,fish,0,0
Hyperoplus.lanceolatus,Hyperoplus lanceolatus,fish,0,0
Labrus.bergylta,Labrus bergylta,fish,0,0
Lampetra.fluviatilis,Lampetra fluviatilis,fish,0,0
Lepidorhombus.whiffiagonis,Lepidorhombus whiffiagonis,fish,0,0
Leptoclinus.maculatus,Leptoclinus maculatus,fish,0,0
Lesueurigobius.friesii,Lesueurigobius friesii,fish,0,0
Leuciscus.idus,Leuciscus idus,fish,0,0
Leuciscus.leuciscus,Leuciscus leuciscus,fish,0,0
Limanda.limanda,Limanda limanda,fish,0,0
Liparis.liparis,Liparis liparis,fish,0,0
Lophius.piscatorius,Lophius piscatorius,fish,0,0
Lota.lota,Lota lota,fish,0,0
Lumpenus.lampretaeformis,Lumpenus lampretaeformis,fish,0,0
Lycodes.vahlii,Lycodes vahlii,fish,0,0
Maurolicus.muelleri,Maurolicus muelleri,fish,0,0
Melanogrammus.aeglefinus,Melanogrammus aeglefinus,fish,0,0
Merlangius.merlangus,Merlangius merlangus,fish,0,0
Merluccius.merluccius,Merluccius merluccius,fish,0,0
Micromesistius.poutassou,Micromesistius poutassou,fish,0,0
Microstomus.kitt,Microstomus kitt,fish,0,0
Molva.molva,Molva molva,fish,0,0
Mullus.surmuletus,Mullus surmuletus,fish,0,0
Myoxocephalus.quadricornis,Myoxocephalus quadricornis,fish,0,0
Myoxocephalus.scorpius,Myoxocephalus scorpius,fish,0,0
