scientific_name,internal_flag,internal_comment
Abramis.brama,green,
Agonus.cataphractus,green,
Alburnus.alburnus,green,
Alloteuthis.subulata,yellow,
Alosa.fallax,yellow,
Amblyraja.radiata,green,
Ammodytes.marinus,yellow,Likely overestimates presences in the Baltic.
Ammodytes.tobianus,red,
Anguilla.anguilla,red,Underestimates the distribution in the Baltic.
Aphia.minuta,green,
Argentina.sphyraena,red,Overestimated in the Baltic based on a few presences (caused by GAM) although with low confidence.
Arnoglossus.laterna,green,
Belone.belone,green,
Blicca.bjoerkna,green,
Buglossidium.luteum,green,
Callionymus.lyra,green,
Callionymus.maculatus,green,
Cancer.pagurus,green,
Carassius.carassius,green,
Carcinus.maenas,green,
Centrolabrus.exoletus,red,Dramatically overestimates in the Baltic Proper and Gulf of Bothnia where it does not occur. This is caused by overprediction in the GAM models.
Chelidonichthys.lucerna,green,
Ciliata.mustela,green,
Clupea.harengus,green,
Coregonus.albula,green,
Coregonus.maraena,yellow,
Cottus.gobio,green,
Ctenolabrus.rupestris,green,
Cyclopterus.lumpus,green,
Enchelyopus.cimbrius,green,
Engraulis.encrasicolus,green,
Entelurus.aequoreus,green,
Esox.lucius,green,
Eutrigla.gurnardus,green,
Gadus.morhua,green,
Gasterosteus.aculeatus,green,
Glyptocephalus.cynoglossus,green,
Gobius.niger,red,Underestimates the distribution in the Baltic.
Gymnocephalus.cernua,green,
Hippoglossoides.platessoides,green,
Homarus.gammarus,green,
Hyas.araneus,green,
Hyperoplus.immaculatus,green,
Hyperoplus.lanceolatus,green,
Labrus.bergylta,green,
Lampetra.fluviatilis,yellow,Underestimated in Kattegat and Skagerrak.
Lepidorhombus.whiffiagonis,green,
Leptoclinus.maculatus,red,Overestimates in the Baltic.
Lesueurigobius.friesii,green,
Leuciscus.idus,green,
Leuciscus.leuciscus,green,
Limanda.limanda,green,
Liparis.liparis,yellow,
Loligo.forbesii,yellow,
Lophius.piscatorius,yellow,
Lota.lota,green,
Lumpenus.lampretaeformis,green,
Lycodes.vahlii,red,Overestimates in the central and northern Baltic.
Macropodia.rostrata,green,
Maurolicus.muelleri,green,
Melanogrammus.aeglefinus,green,
Merlangius.merlangus,green,
Merluccius.merluccius,red,"Overestimates in the Baltic, although with low confidence. Caused by the GAM."
Micromesistius.poutassou,yellow,
Microstomus.kitt,green,
Molva.molva,green,
Mullus.surmuletus,yellow,
Myoxocephalus.quadricornis,green,
Myoxocephalus.scorpius,green,
Myxine.glutinosa,green,
Neogobius.melanostomus,green,
Nephrops.norvegicus,green,
Nerophis.ophidion,yellow,Underestimates in Kattegat.
Osmerus.eperlanus,green,
Pagurus.bernhardus,green,
Perca.fluviatilis,green,
Pholis.gunnellus,red,Underestimates in the Baltic and GoB. Probably not caught well with gillnets.
Phoxinus.phoxinus,green,
Platichthys.flesus,green,
Pleuronectes.platessa,green,
Pollachius.pollachius,green,
Pollachius.virens,green,
Pomatoschistus.minutus,green,
Pungitius.pungitius,green,
Rutilus.rutilus,green,
Salmo.salar,yellow,Underestimates in Kattegat and Skagerrak.
Salmo.trutta,yellow,"Likely underestimates overall, but main geographical distribution is reasonable."
Sander.lucioperca,green,
Sardina.pilchardus,green,
Scardinius.erythrophthalmus,green,
Scomber.scombrus,green,
Scophthalmus.maximus,green,
Scophthalmus.rhombus,green,
Scyliorhinus.canicula,yellow,
Solea.solea,green,
Spinachia.spinachia,red,Underestimates in the Baltic.
Sprattus.sprattus,green,
Squalus.acanthias,green,
Symphodus.melops,green,
Syngnathus.acus,green,
Syngnathus.rostellatus,green,
Syngnathus.typhle,red,"Underestimates in the Baltic, especially in coastal areas."
Taurulus.bubalis,green,
Tinca.tinca,green,
Trachinus.draco,green,
Trachurus.trachurus,green,
Trisopterus.esmarkii,green,
Trisopterus.minutus,green,
Vimba.vimba,green,
Zoarces.viviparus,green,
