scientific_name,internal_flag,internal_comment
Abra alba,,
Abra nitida,,
Abyssoninoe hibernica,,
Acanthocardia echinata,,
Acidostoma obesum,,
Acteon tornatilis,,
Akera bullata,red,
Alcyonidium diaphanum,red,
Alcyonidium polyoum,red,
Alitta succinea,,
Alitta virens,,
Alkmaria romijni,,
Ampelisca brevicornis,,
Ampelisca diadema,,
Ampelisca macrocephala,,
Ampelisca tenuicornis,red,
Ampelisca typica,,
Ampharete acutifrons,,
Ampharete baltica,,
Ampharete finmarchica,red,
Ampharete lindstroemi,red,
Amphibalanus improvisus,,
Amphiura chiajei,red,
Amphiura filiformis,,
Ampithoe rubricata,,
Anobothrus gracilis,,
Anoplodactylus petiolatus,red,
Aonides paucibranchiata,,
Aphelochaeta marioni,,
Apherusa bispinosa,,
Aphrodita aculeata,red,
Apistobranchus tullbergi,,
Aporrhais pespelecani,,
Arctica islandica,,
Arenicola marina,,
Argissa hamatipes,,
Aricidea cerrutii,,
Aricidea minuta,,
Aricidea suecica,,
Artacama proboscidea,,
Ascidiella aspersa,,
Astarte borealis,,
Astarte elliptica,,
Astarte montagui,,
Astarte sulcata,red,
Asterias rubens,,
Astropecten irregularis,,
Balanus crenatus,red,
Baltidrilus costatus,,
Bathyporeia elegans,red,
Bathyporeia guilliamsoniana,,
Bathyporeia pelagica,,
Bathyporeia pilosa,,
Bathyporeia sarsi,red,
Bittium reticulatum,,
Boreotrophon truncatus,red,
Brachystomia scalaris,red,
Brada villosa,,
Branchiostoma lanceolatum,,
Brissopsis lyrifera,,
Buccinum undatum,red,
Bylgides sarsi,,
Callianassa subterranea,red,
Callopora lineata,,
Capitella capitata,,
Caprella linearis,red,
Carcinus maenas,,
Cerastoderma edule,,
Cerastoderma glaucum,,
Cerianthus lloydii,,
Chaetoderma nitidulum,,
Chaetozone setosa,,
Chalinula limbata,,
Chamelea gallina,,
Chamelea striatula,,
Cheirocratus sundevallii,red,
Chironomus plumosus,red,
Chone duneri,,
Chone fauveli,red,
Chone filicaudata,red,
Ciona intestinalis,red,
Clausinella fasciata,,
Clitellio arenarius,red,
Clytia hemisphaerica,,
Cochlodesma praetenue,red,
Corbula gibba,,
Corophium multisetosum,,
Corophium volutator,,
Crangon crangon,red,
Crassicorophium crassicorne,,
Crenella decussata,,
Crepidula fornicata,,
Cribrilina punctata,red,
Crisia eburnea,,
Cyanophthalma obscura,,
Cyathura carinata,red,
Cylichna cylindracea,,
Dendrodoa grossularia,,
Dexamine spinosa,,
Diaphana minuta,,
Diastylis bradyi,,
Diastylis laevis,,
Diastylis lucifera,red,
Diastylis rathkei,,
Diastylis rugosa,,
Diastyloides biplicatus,,
Diplocirrus glaucus,red,
Dipolydora caulleryi,,
Dipolydora coeca,,
Dipolydora quadrilobata,,
Dosinia exoleta,,
Dosinia lupinus,red,
Dreissena polymorpha,,
Dynamena pumila,,
Dyopedos monacanthus,red,
Echinocardium cordatum,,
Echinocyamus pusillus,,
Echiurus echiurus,red,
Ecrobia ventrosa,,
Edwardsia danica,red,
Edwardsia longicornis,,
Einhornia crustulenta,,
Electra pilosa,,
Enipo kinbergi,red,
Ennucula tenuis,,
Ericthonius brasiliensis,,
Erinaceusyllis erinaceus,red,
Eriopisa elongata,red,
Escharella immersa,,
Eteone flava,,
Eteone longa,,
Euchone papillosa,red,
Eucratea loricata,,
Eudorella emarginata,,
Eudorella truncatula,,
Eudorellopsis deformis,,
Eulalia bilineata,red,
Eulalia viridis,,
Eumida bahusiensis,,
Eumida sanguinea,,
Eunereis longissima,,
Euspira nitida,,
Exogone naidina,,
Fabricia stellaris,,
Fabriciola baltica,red,
Fabulina fabula,,
Farrella repens,,
Filellum serpens,,
Flustra foliacea,,
Galathowenia oculata,,
Gammarellus homari,,
Gammarus inaequicauda,red,
Gammarus locusta,red,
Gammarus oceanicus,,
Gammarus salinus,,
Gammarus tigrinus,,
Gammarus zaddachi,,
Gari fervensis,,
Gastrosaccus spinifer,,
Gattyana cirrhosa,,
Glycera alba,,
Glycera unicornis,,
Glycinde nordmanni,,
Golfingia vulgaris,,
Goniada maculata,,
Halcampa duodecimcirrata,,
Halichondria panicea,red,
Haliclona oculata,red,
Halicryptus spinulosus,,
Halisarca dujardinii,,
Haploops tubicola,red,
Harmothoe antilopes,,
Harmothoe imbricata,,
Harmothoe impar,,
Harpinia antennaria,,
Harpinia pectinata,red,
Hartlaubella gelatinosa,red,
Haustorius arenarius,red,
Hediste diversicolor,,
Hermania scabra,,
Heteromastus filiformis,,
Heterotanais oerstedii,,
Hiatella arctica,,
Hyala vitrea,red,
Hydractinia echinata,,
Idotea balthica,red,
Idotea chelipes,red,
Iphinoe trispinosa,,
Jaera albifrons,,
Kurtiella bidentata,,
Labidoplax buskii,,
Lagis koreni,,
Lamprops fasciatus,,
Lanice conchilega,,
Laonice bahusiensis,,
Laonome kroyeri,,
Lembos websteri,,
Lepidochitona cinerea,red,
Lepidonotus squamatus,,
Leptocheirus pilosus,red,
Leptochiton asellus,red,
Leucon acutirostris,,
Leucon nasica,red,
Leucothoe lilljeborgi,red,
Levinsenia gracilis,,
Limecola balthica,,
Lineus ruber,,
Lipobranchius jeffreysii,red,
Littorina littorea,red,
Littorina saxatilis,red,
Lucinoma borealis,red,
Lysilla loveni,,
Macoma calcarea,,
Macroplea mutica,red,
Magelona alleni,,
Magelona minuta,,
Magelona mirabilis,red,
Malacobdella grossa,,
Malacoceros fuliginosus,,
Malacoceros tetracerus,,
Maldane sarsi,,
Manayunkia aestuarina,red,
Marenzelleria,,
Medicorophium affine,red,
Mediomastus fragilis,,
Megamphopus cornutus,red,
Melita palmata,red,
Metridium senile,,
Microdeutopus anomalus,,
Microdeutopus damnoniensis,,
Microdeutopus gryllotalpa,red,
Microphthalmus sczelkowii,,
Micrura baltica,,
Modiolus modiolus,,
Molgula manhattensis,,
Monocorophium insidiosum,,
Monoporeia affinis,,
Musculus discors,,
Musculus niger,,
Musculus subpictus,red,
Mya arenaria,,
Mya truncata,,
Mysia undata,,
Mysis mixta,,
Mysis relicta,,
Mytilus,,
Neoamphitrite figulus,,
Neomysis integer,,
Nephtys assimilis,,
Nephtys caeca,,
Nephtys ciliata,,
Nephtys cirrosa,red,
Nephtys hombergii,,
Nephtys incisa,red,
Nephtys longosetosa,,
Nephtys pente,,
Nereimyra punctata,,
Nicolea zostericola,red,
Nicomache minor,red,
Notomastus latericeus,,
Nucula nitidosa,,
Nucula sulcata,red,
Nuculana pernula,red,
Nymphon brevirostre,red,
Onchidoris muricata,,
Onoba aculeus,,
Onoba semicostata,,
Opercularella lacerata,,
Ophelia borealis,,
Ophelia rathkei,,
Ophelina acuminata,red,
Ophiura albida,,
Ophiura ophiura,red,
Owenia fusiformis,,
Oxydromus flexuosus,,
Pagurus bernhardus,,
Palaemon adspersus,red,
Paradoneis eliasoni,,
Paramphinome jeffreysii,,
Paraonis fulgens,,
Parathyasira equalis,red,
Parexogone hebes,,
Pariambus typicus,,
Parvicardium exiguum,red,
Parvicardium hauniense,red,
Parvicardium minimum,,
Parvicardium pinnulatum,,
Parvicardium scabrum,red,
Pectinaria belgica,,
Pennatula phosphorea,red,
Peringia ulvae,,
Perioculodes longimanus,,
Phaxas pellucidus,,
Pherusa plumosa,,
Philine aperta,,
Philine quadripartita,,
Pholoe assimilis,,
Pholoe baltica,,
Pholoe inornata,,
Pholoe pallida,red,
Phoronis muelleri,,
Photis longicaudata,red,
Phoxocephalus holbolli,,
Phtisica marina,,
Phyllodoce groenlandica,,
Phyllodoce maculata,,
Phyllodoce mucosa,,
Phyllodoce rosea,,
Pisione remota,,
Platynereis dumerilii,,
Podarkeopsis helgolandicus,,
Podocoryna carnea,,
Poecilochaetus serpens,,
Polycirrus medusa,,
Polycirrus norvegicus,,
Polycirrus plumosus,,
Polydora ciliata,,
Polydora cornuta,,
Polyphysia crassa,,
Pontocrates arenarius,,
Pontoporeia femorata,,
Potamopyrgus antipodarum,red,
Praxillella affinis,,
Praxillella praetermissa,,
Praxillura longissima,,
Priapulus caudatus,,
Prionospio fallax,,
Prionospio multibranchiata,,
Prionospio steenstrupi,red,
Protomedeia fasciata,,
Psammechinus miliaris,,
Pseudopolydora antennata,,
Pseudopolydora pulchra,,
Pusillina inconspicua,,
Pusillina sarsii,red,
Pygospio elegans,,
Rangia cuneata,,
Retusa obtusa,red,
Retusa truncatula,,
Rhithropanopeus harrisii,red,
Rhodine gracilior,,
Rhodine loveni,,
Rissoa membranacea,red,
Saduria entomon,,
Scalibregma inflatum,,
Scolelepis bonnieri,,
Scolelepis foliosa,red,
Scolelepis squamata,red,
Scolelepis tridentata,red,
Scoloplos armiger,,
Scrobicularia plana,,
Sertularia cupressina,,
Sigalion mathildae,red,
Sphaerodoropsis baltica,,
