scientific_name,internal_flag,internal_comment
Acrochaetium.secundatum,red,Swedish west coast missing in predictions.
Aegagropila.linnaei,,
Agarophyton.vermiculophyllum,red,Swedish west coast missing in predictions.
Aglaothamnion.tenuissimum,yellow,Southeast coast of Sweden underpredicted and/or southeast Baltic possibly overpredicted.
Ahnfeltia.plicata,,
Alisma.wahlenbergii,,
Apoglossum.ruscifolium,,
Ascophyllum.nodosum,,
Asperococcus.bullosus,,
Batrachospermum,,
Battersia.arctica,,
Bolboschoenus.maritimus,,
Bonnemaisonia.asparagoides,,
Bonnemaisonia.hamifera,yellow,Underprediction at the Swedish west coast.
Bryopsis.hypnoides,,
Bryopsis.plumosa,,
Butomus.umbellatus,,
Callithamnion.corymbosum,yellow,Potential overprediction in southeast Baltic.
Callithamnion.tetragonum,,
Callitriche.hermaphroditica,,
Callitriche.palustris,,
Caltha.palustris,yellow,Should probably not occur in Denmark.
Ceramium.diaphanum,yellow,Potential overprediction in southeast Baltic.
Ceramium.tenuicorne,,
Ceramium.virgatum,,
Ceratophyllum.demersum,,
Chaetomorpha.linum,,
Chaetomorpha.melagonium,,
Chaetopteris.plumosa,red,Swedish west coast missing in predictions.
Chara.aspera,,
Chara.baltica,,
Chara.braunii,,
Chara.canescens,,
Chara.connivens,,
Chara.horrida,,
Chara.tomentosa,,
Chara.virgata,,
Chondrus.crispus,,
Chorda.filum,,
Chordaria.flagelliformis,,
Cicuta.virosa,,
Cladophora.rupestris,,
Cladophora.sericea,yellow,Potential overprediction in southeast Baltic.
Coccotylus.Phyllophora,,
Codium.fragile,red,Swedish west coast missing in predictions.
Colaconema.daviesii,,
Colaconema.nemalionis,yellow,Potential overprediction in southeast Baltic.
Colaconema.pectinatum,,
Corallina.officinalis,,
Crassula.aquatica,,
Cruoria.pellita,,
Cystoclonium.purpureum,,
Dasya.baillouviana,yellow,Swedish west coast underpredicted.
Dasysiphonia.japonica,yellow,Swedish west coast missing in predictions.
Delesseria.sanguinea,yellow,Potential overprediction in southeast Baltic.
Derbesia.marina,,
Desmarestia.aculeata,yellow,Underprediction at the Swedish west coast.
Desmarestia.viridis,yellow,Southeast coast of Sweden underpredicted.
Dictyosiphon.chordaria,,
Dictyosiphon.foeniculaceus,,
Dilsea.carnosa,,
Dumontia.contorta,,
Ectocarpus.Pylaiella,,
Elachista.fucicola,,
Elatine.hydropiper,,
Eleocharis.acicularis,,
Eleocharis.mamillata,,
Eleocharis.palustris,,
Eleocharis.parvula,,
Eleocharis.uniglumis,,
