"scientific_name","full_name","species_group","mobility","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Abramis.brama","Abramis brama","fish","mobile","green","",3738,TRUE,1,1,1.54627190331618,"RFd, XGBOOST, GAM",3723,62159,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Gillnet",0.881956285144205,0.821533333333333,"TSS","TSS","Abramis.brama","fish","RFd,XGBOOST,GAM",3
"Agonus.cataphractus","Agonus cataphractus","fish","mobile","green","",1399,TRUE,1,1,1.60973716557026,"RFd, XGBOOST, GAM",1331,64551,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Benthic_trawl",0.783137743662021,0.710066666666667,"TSS","TSS","Agonus.cataphractus","fish","RFd,XGBOOST,GAM",3
"Alburnus.alburnus","Alburnus alburnus","fish","mobile","green","",5411,TRUE,1,1,1.80936654475,"RFd, XGBOOST, GAM",5337,60545,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Gillnet",0.821486709715709,0.761933333333333,"TSS","TSS","Alburnus.alburnus","fish","RFd,XGBOOST,GAM",3
"Alosa.fallax","Alosa fallax","fish","mobile","yellow","",796,TRUE,1,1,1.56685860276222,"RFd, XGBOOST, GAM",778,65104,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Benthic_trawl",0.85190835711149,0.7422,"TSS","TSS","Alosa.fallax","fish","RFd,XGBOOST,GAM",3
"Amblyraja.radiata","Amblyraja radiata","fish","mobile","green","",695,TRUE,1,1,1.28145760774612,"RFd, XGBOOST, GAM",626,65256,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Benthic_trawl",0.954225729829132,0.920333333333333,"TSS","TSS","Amblyraja.radiata","fish","RFd,XGBOOST,GAM",3
"Ammodytes.marinus","Ammodytes marinus","fish","mobile","yellow","Likely overestimates presences in the Baltic. Low number of positive cases (presences) in model training data.",158,TRUE,1,1,1.22175528917048,"RFd, XGBOOST, GAM",130,65752,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Benthic_trawl",0.828195378765721,0.586466666666667,"TSS","TSS","Ammodytes.marinus","fish","RFd,GAM",2
"Ammodytes.tobianus","Ammodytes tobianus","fish","mobile","red","",745,TRUE,1,1,1.63512095358637,"RFd, XGBOOST, GAM",656,65226,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Gillnet",0.8667418419505,0.777866666666667,"TSS","TSS","Ammodytes.tobianus","fish","RFd,XGBOOST,GAM",3
"Anguilla.anguilla","Anguilla anguilla","fish","mobile","red","Underestimates the distribution in the Baltic.",7993,TRUE,1,1,1.96705481164985,"RFd, XGBOOST, GAM",7991,57891,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Fyke_net",0.746784188475359,0.731666666666667,"TSS","TSS","Anguilla.anguilla","fish","RFd,XGBOOST,GAM",3
"Aphia.minuta","Aphia minuta","fish","mobile","green","",322,TRUE,1,1,1.29718313972155,"RFd, XGBOOST, GAM",309,65573,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Pelagic_trawl",0.917014253563391,0.790733333333333,"TSS","TSS","Aphia.minuta","fish","RFd,XGBOOST,GAM",3
"Argentina.sphyraena","Argentina sphyraena","fish","mobile","red","Overestimated in the Baltic based on a few presences (caused by GAM) although with low confidence.",259,TRUE,1,1,1.19419764028655,"RFd, XGBOOST, GAM",191,65691,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Benthic_trawl",0.945928644109894,0.819066666666667,"TSS","TSS","Argentina.sphyraena","fish","RFd,XGBOOST,GAM",3
