"scientific_name","full_name","species_group","mobility","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Abra.alba","Abra alba","invertebrates","non-mobile","green","",5098,FALSE,1,1,1.4452610941728,"RF, XGBOOST, GAM",5098,22143,"run3_invertebrates",NA,NA,0.569423496650862,0.4632,"TSS","TSS","Abra.alba","invertebrates","RF,XGBOOST,GAM",3
"Abra.nitida","Abra nitida","invertebrates","non-mobile","green","",1836,FALSE,1,1,1.21810814857483,"RF, XGBOOST, GAM",1836,24893,"run3_invertebrates",NA,NA,0.771830461781444,0.688133333333333,"TSS","TSS","Abra.nitida","invertebrates","RF,XGBOOST,GAM",3
"Abyssoninoe.hibernica","Abyssoninoe hibernica","invertebrates","non-mobile","yellow","Low number of positive cases (presences) in model training data.",124,FALSE,1,1,0.663032199409273,"RF, XGBOOST, GAM",124,2568,"run3_invertebrates",NA,NA,0.962645914396887,0.8884,"TSS","TSS","Abyssoninoe.hibernica","invertebrates","RF,XGBOOST,GAM",3
"Acanthocardia.echinata","Acanthocardia echinata","invertebrates","non-mobile","yellow","Low number of positive cases (presences) in model training data.",148,FALSE,1,1,0.909442051119275,"RF, XGBOOST, GAM",148,22698,"run3_invertebrates",NA,NA,0.851336270190896,0.482266666666667,"TSS","TSS","Acanthocardia.echinata","invertebrates","RF,XGBOOST,GAM",3
"Akera.bullata","Akera bullata","invertebrates","non-mobile","red","",159,FALSE,1,1,0.909847163889143,"RF, XGBOOST, GAM",159,19952,"run3_invertebrates",NA,NA,0.838690476190476,0.447,"TSS","TSS","Akera.bullata","invertebrates","RF,XGBOOST,GAM",3
"Alcyonidium.diaphanum","Alcyonidium diaphanum","invertebrates","non-mobile","red","Low number of positive cases (presences) in model training data.",39,FALSE,1,1,0.680504637228118,"RF, XGBOOST, GAM",39,2125,"run3_invertebrates",NA,NA,0.862411764705882,0.471066666666667,"TSS","TSS","Alcyonidium.diaphanum","invertebrates","RF,XGBOOST,GAM",3
"Alcyonidium.polyoum","Alcyonidium polyoum","invertebrates","non-mobile","red","Low number of positive cases (presences) in model training data.",128,FALSE,1,1,0.71939989440971,"RF, XGBOOST, GAM",128,868,"run3_invertebrates",NA,NA,0.871441202475685,0.6038,"TSS","TSS","Alcyonidium.polyoum","invertebrates","RF,XGBOOST,GAM",3
"Alitta.succinea","Alitta succinea","invertebrates","non-mobile","green","",510,FALSE,1,1,0.89980649722947,"RF, XGBOOST, GAM",510,4320,"run3_invertebrates",NA,NA,0.776633986928105,0.5536,"TSS","TSS","Alitta.succinea","invertebrates","RF,XGBOOST,GAM",3
"Alkmaria.romijni","Alkmaria romijni","invertebrates","non-mobile","yellow","Low number of positive cases (presences) in model training data.",32,FALSE,1,1,0.775988289978769,"RF, XGBOOST, GAM",32,18709,"run3_invertebrates",NA,NA,0.955175485480135,0.5668,"TSS","TSS","Alkmaria.romijni","invertebrates","RF,XGBOOST,GAM",3
"Alloteuthis.subulata","Alloteuthis subulata","invertebrates","mobile","green","",433,TRUE,1,1,1.06837805920177,"RFd, XGBOOST, GAM",327,65555,"run3_fish","Benthic_trawl,Fyke_net,Gillnet,Pelagic_trawl","Benthic_trawl",0.966804620899656,0.821666666666667,"TSS","TSS","Alloteuthis.subulata","invertebrates","RFd,XGBOOST,GAM",3
