"scientific_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Acidostoma.obesum","red","Species model excluded because it did not pass the evaluation criteria.",32,FALSE,1,1,0.702154255310694,"RF, XGBOOST, GAM",32,10718,"run3_invertebrates",NA,NA,0.881623134328358,0.261466666666667,"TSS","TSS","Acidostoma.obesum","invertebrates","GAM",1
"Acteon.tornatilis","red","Species model excluded because it did not pass the evaluation criteria.",31,FALSE,1,1,0.731122677259975,"RF, XGBOOST, GAM",31,15552,"run3_invertebrates",NA,NA,0.657234726688103,0.224266666666667,"TSS","TSS","Acteon.tornatilis","invertebrates","RF,GAM",2
"Alitta.virens","red","Species model excluded because it did not pass the evaluation criteria.",179,FALSE,1,1,0.679652996924188,"RF, XGBOOST, GAM",179,5538,"run3_invertebrates",NA,NA,0.661291616526274,0.3764,"TSS","TSS","Alitta.virens","invertebrates","XGBOOST,GAM",2
"Ampelisca.typica","red","Species model excluded because it did not pass the evaluation criteria.",33,FALSE,1,1,0.673150771922535,"RF, XGBOOST, GAM",33,7016,"run3_invertebrates",NA,NA,0.836106302820487,0.323266666666667,"TSS","TSS","Ampelisca.typica","invertebrates","RF,GAM",2
"Aonides.paucibranchiata","red","Species model excluded because it did not pass the evaluation criteria.",26,FALSE,1,1,0.72759866197904,"RF, XGBOOST, GAM",26,10856,"run3_invertebrates",NA,NA,0.826365730078305,0.3486,"TSS","TSS","Aonides.paucibranchiata","invertebrates","RF,GAM",2
"Aphelochaeta.marioni","red","Species model excluded because it did not pass the evaluation criteria.",55,FALSE,1,1,0.792913775311576,"RF, XGBOOST, GAM",55,19806,"run3_invertebrates",NA,NA,0.769805604645292,0.376733333333333,"TSS","TSS","Aphelochaeta.marioni","invertebrates","RF,GAM",2
"Argissa.hamatipes","red","Species model excluded because it did not pass the evaluation criteria.",33,FALSE,1,1,0.740924433933364,"RF, XGBOOST, GAM",33,15193,"run3_invertebrates",NA,NA,0.877506698632069,0.352266666666667,"TSS","TSS","Argissa.hamatipes","invertebrates","GAM,RF,XGBOOST",3
"Astropecten.irregularis","red","Species model excluded because it did not pass the evaluation criteria.",29,FALSE,1,1,0.768272750775019,"RF, XGBOOST, GAM",29,15340,"run3_invertebrates",NA,NA,0.738852672750978,0.304466666666667,"TSS","TSS","Astropecten.irregularis","invertebrates","GAM,RF",2
"Boreotrophon.truncatus","red","Species model excluded because it did not pass the evaluation criteria.",27,FALSE,1,1,0.679622723592652,"RF, XGBOOST, GAM",27,8475,"run3_invertebrates",NA,NA,0.969793510324484,0.3614,"TSS","TSS","Boreotrophon.truncatus","invertebrates","GAM,XGBOOST",2
"Cerianthus.lloydii","red","Species model excluded because it did not pass the evaluation criteria.",31,FALSE,1,1,0.767137787805663,"RF, XGBOOST, GAM",31,17645,"run3_invertebrates",NA,NA,0.750033059412487,0.302733333333333,"TSS","TSS","Cerianthus.lloydii","invertebrates","RF,GAM",2
"Chamelea.striatula","red","Species model excluded because it did not pass the evaluation criteria.",62,FALSE,1,1,0.757133720848295,"RF, XGBOOST, GAM",62,5199,"run3_invertebrates",NA,NA,0.658397435897436,0.309266666666667,"TSS","TSS","Chamelea.striatula","invertebrates","GAM",1
"Chone.duneri","red","Species model excluded because it did not pass the evaluation criteria.",48,FALSE,1,1,0.72102341943317,"RF, XGBOOST, GAM",48,11756,"run3_invertebrates",NA,NA,0.736937473415568,0.273466666666667,"TSS","TSS","Chone.duneri","invertebrates","GAM",1
"Clausinella.fasciata","red","Species model excluded because it did not pass the evaluation criteria.",49,FALSE,1,1,0.768954289224413,"RF, XGBOOST, GAM",49,16166,"run3_invertebrates",NA,NA,0.775428394679864,0.348533333333333,"TSS","TSS","Clausinella.fasciata","invertebrates","RF,GAM",2
"Crepidula.fornicata","red","Species model excluded because it did not pass the evaluation criteria.",77,FALSE,1,1,0.86864509443442,"RF, XGBOOST, GAM",77,22082,"run3_invertebrates",NA,NA,0.600144927536232,0.376333333333333,"TSS","TSS","Crepidula.fornicata","invertebrates","GAM,RF",2
"Dexamine.spinosa","red","Species model excluded because it did not pass the evaluation criteria.",49,FALSE,1,1,0.779916244480345,"RF, XGBOOST, GAM",49,16185,"run3_invertebrates",NA,NA,0.71082483781279,0.3258,"TSS","TSS","Dexamine.spinosa","invertebrates","RF,GAM",2
"Diaphana.minuta","red","Species model excluded because it did not pass the evaluation criteria.",57,FALSE,1,1,0.771229538652632,"RF, XGBOOST, GAM",57,13593,"run3_invertebrates",NA,NA,0.702524323782139,0.259266666666667,"TSS","TSS","Diaphana.minuta","invertebrates","RF,GAM",2
"Diastylis.bradyi","red","Species model excluded because it did not pass the evaluation criteria.",219,FALSE,1,1,0.840766848921776,"RF, XGBOOST, GAM",219,23263,"run3_invertebrates",NA,NA,0.714904362776703,0.377933333333333,"TSS","TSS","Diastylis.bradyi","invertebrates","GAM,XGBOOST",2
"Diastylis.rugosa","red","Species model excluded because it did not pass the evaluation criteria.",21,FALSE,1,1,0.701832547187805,"RF, XGBOOST, GAM",21,11865,"run3_invertebrates",NA,NA,0.704930467762326,0.2068,"TSS","TSS","Diastylis.rugosa","invertebrates","GAM",1
"Dipolydora.caulleryi","red","Species model excluded because it did not pass the evaluation criteria.",42,FALSE,1,1,0.688545625805855,"RF, XGBOOST, GAM",42,4483,"run3_invertebrates",NA,NA,0.818004459308807,0.344533333333333,"TSS","TSS","Dipolydora.caulleryi","invertebrates","GAM,RF",2
"Dipolydora.coeca","red","Species model excluded because it did not pass the evaluation criteria.",117,FALSE,1,1,0.753827510608567,"RF, XGBOOST, GAM",117,7512,"run3_invertebrates",NA,NA,0.719313379262433,0.372733333333333,"TSS","TSS","Dipolydora.coeca","invertebrates","GAM,RF",2
"Dynamena.pumila","red","Species model excluded because it did not pass the evaluation criteria.",40,FALSE,1,1,0.687247153586812,"RF, XGBOOST, GAM",40,4084,"run3_invertebrates",NA,NA,0.77469400244798,0.365533333333333,"TSS","TSS","Dynamena.pumila","invertebrates","GAM,RF",2
"Eteone.flava","red","Species model excluded because it did not pass the evaluation criteria.",63,FALSE,1,1,0.864519466095501,"RF, XGBOOST, GAM",63,21392,"run3_invertebrates",NA,NA,0.614435214154709,0.326333333333333,"TSS","TSS","Eteone.flava","invertebrates","RF,GAM",2
"Eudorellopsis.deformis","red","Species model excluded because it did not pass the evaluation criteria.",21,FALSE,1,1,0.7020632529921,"RF, XGBOOST, GAM",21,6771,"run3_invertebrates",NA,NA,0.938257016248154,0.413533333333333,"TSS","TSS","Eudorellopsis.deformis","invertebrates","GAM",1
"Eulalia.bilineata","red","Species model excluded because it did not pass the evaluation criteria.",54,FALSE,1,1,0.777196728057332,"RF, XGBOOST, GAM",54,10155,"run3_invertebrates",NA,NA,0.77954433552661,0.396133333333333,"TSS","TSS","Eulalia.bilineata","invertebrates","RF,GAM",2
"Eulalia.viridis","red","Species model excluded because it did not pass the evaluation criteria.",16,FALSE,1,1,0.663193135526445,"RF, XGBOOST, GAM",16,13548,"run3_invertebrates",NA,NA,0.639483394833948,0.114466666666667,"TSS","TSS","Eulalia.viridis","invertebrates","GAM",1
"Eunereis.longissima","red","Species model excluded because it did not pass the evaluation criteria.",22,FALSE,1,1,0.727160439160135,"RF, XGBOOST, GAM",22,15157,"run3_invertebrates",NA,NA,0.805559221379083,0.273666666666667,"TSS","TSS","Eunereis.longissima","invertebrates","GAM",1
"Euspira.nitida","red","Species model excluded because it did not pass the evaluation criteria.",61,FALSE,1,1,0.769485559132364,"RF, XGBOOST, GAM",61,10507,"run3_invertebrates",NA,NA,0.757393304775504,0.358733333333333,"TSS","TSS","Euspira.nitida","invertebrates","GAM,RF",2
"Gari.fervensis","red","Species model excluded because it did not pass the evaluation criteria.",40,FALSE,1,1,0.713097472786903,"RF, XGBOOST, GAM",40,12904,"run3_invertebrates",NA,NA,0.857400232468036,0.245266666666667,"TSS","TSS","Gari.fervensis","invertebrates","GAM",1
"Haliclona.oculata","red","Species model excluded because it did not pass the evaluation criteria.",71,FALSE,1,1,0.633889752758874,"RF, XGBOOST, GAM",71,892,"run3_invertebrates",NA,NA,0.678972712680578,0.398466666666667,"TSS","TSS","Haliclona.oculata","invertebrates","GAM,RF",2
"Harmothoe.antilopes","red","Species model excluded because it did not pass the evaluation criteria.",26,FALSE,1,1,0.671715843611293,"RF, XGBOOST, GAM",26,5955,"run3_invertebrates",NA,NA,0.809068010075567,0.237266666666667,"TSS","TSS","Harmothoe.antilopes","invertebrates","GAM",1
"Harmothoe.impar","red","Species model excluded because it did not pass the evaluation criteria.",480,FALSE,1,1,0.936417232751846,"RF, XGBOOST, GAM",480,24102,"run3_invertebrates",NA,NA,0.682116182572614,0.347,"TSS","TSS","Harmothoe.impar","invertebrates","XGBOOST",1
"Hydractinia.echinata","red","Species model excluded because it did not pass the evaluation criteria.",39,FALSE,1,1,0.68477405084504,"RF, XGBOOST, GAM",39,6664,"run3_invertebrates",NA,NA,0.65457614403600894,0.227,"TSS","TSS","Hydractinia.echinata","invertebrates","GAM",1
"Iphinoe.trispinosa","red","Species model excluded because it did not pass the evaluation criteria.",52,FALSE,1,1,0.81098439057668,"RF, XGBOOST, GAM",52,17102,"run3_invertebrates",NA,NA,0.723391812865497,0.3134,"TSS","TSS","Iphinoe.trispinosa","invertebrates","RF,GAM",2
"Lembos.websteri","red","Species model excluded because it did not pass the evaluation criteria.",35,FALSE,1,1,0.706489861673779,"RF, XGBOOST, GAM",35,5751,"run3_invertebrates",NA,NA,0.796770186335404,0.3792,"TSS","TSS","Lembos.websteri","invertebrates","GAM,RF,XGBOOST",3
