"scientific_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Acrosiphonia.arcta","red","Species model excluded because it did not pass the evaluation criteria.",106,TRUE,1,1,0.689675583574507,"RF, XGBOOST, GAM",106,5121,"run3_macrophytes","DE,DK,EE,FI,LT,PL,SE","FI",0.422405133928571,0.149333333333333,"TSS","TSS","Acrosiphonia.arcta","macrophytes","GAM",1
"Alisma.plantago-aquatica","red","Species model excluded because it did not pass the evaluation criteria.",741,FALSE,1,1,0.328642918070157,"RF, XGBOOST, GAM",741,28662,"run3_macrophytes",NA,NA,0.893340374568567,0.7996,"TSS","TSS","Alisma.plantago-aquatica","macrophytes","XGBOOST",1
"Chara.globularis","red","Species model excluded because it did not pass the evaluation criteria.",692,FALSE,1,1,0.811540639400482,"RF, XGBOOST, GAM",692,16107,"run3_macrophytes",NA,NA,0.604051311816926,0.323333333333333,"TSS","TSS","Chara.globularis","macrophytes","GAM,XGBOOST",2
"Cladophora.fracta","red","Species model excluded because it did not pass the evaluation criteria.",562,FALSE,1,1,0.853748352196481,"RF, XGBOOST, GAM",562,16312,"run3_macrophytes",NA,NA,0.716316676885346,0.317,"TSS","TSS","Cladophora.fracta","macrophytes","XGBOOST",1
"Cladophora.glomerata","red","Species model excluded because it did not pass the evaluation criteria.",2580,TRUE,1,1,1.07666844500436,"RF, XGBOOST, GAM",2580,16289,"run3_macrophytes","DE,DK,EE,FI,LT,PL,SE","FI",0.528071152226362,0.359333333333333,"TSS","TSS","Cladophora.glomerata","macrophytes","XGBOOST",1
"Drepanocladus.aduncus","red","Species model excluded because it did not pass the evaluation criteria.",158,FALSE,1,1,0.654149019188351,"RF, XGBOOST, GAM",158,7027,"run3_macrophytes",NA,NA,0.6594128113879,0.362666666666667,"TSS","TSS","Drepanocladus.aduncus","macrophytes","XGBOOST,GAM",2
"Ranunculus.peltatus.baudotii","red","Species model excluded because it did not pass the evaluation criteria.",862,FALSE,1,1,0.826498775283496,"RF, XGBOOST, GAM",862,15734,"run3_macrophytes",NA,NA,0.606805669482194,0.3478,"TSS","TSS","Ranunculus.peltatus.baudo","macrophytes","XGBOOST,GAM",2
"Spirogyra","red","Species model excluded because it did not pass the evaluation criteria.",437,FALSE,1,1,0.823963327209155,"RF, XGBOOST, GAM",437,16484,"run3_macrophytes",NA,NA,0.640053130850407,0.204266666666667,"TSS","TSS","Spirogyra","macrophytes","XGBOOST",1
"Tolypella.nidifica","red","Species model excluded because it did not pass the evaluation criteria.",923,TRUE,1,1,0.965224812494384,"RF, XGBOOST, GAM",923,17923,"run3_macrophytes","DE,DK,EE,FI,LT,PL,SE","SE",0.647647480116099,0.326466666666667,"TSS","TSS","Tolypella.nidifica","macrophytes","XGBOOST,GAM",2
"Ulva.intestinalis","red","Species model excluded because it did not pass the evaluation criteria.",712,FALSE,1,1,0.935620753566424,"RF, XGBOOST, GAM",712,16470,"run3_macrophytes",NA,NA,0.659579944756578,0.3886,"TSS","TSS","Ulva.intestinalis","macrophytes","XGBOOST,GAM",2
